SourceId,Target,DaysSinceLast,LastPayment,DaysSinceLast2,LastPayment2
3e843383-2787-4ea4-9dd6-a1598ef3279e-0011253037,102.69,7,102.69,7,102.69
3e843383-2787-4ea4-9dd6-a1598ef3279e-0011253037,102.69,7,102.69,7,102.69
3e843383-2787-4ea4-9dd6-a1598ef3279e-0011253037,102.69,7,102.69,7,102.69
60b24bf0-4608-45e6-a6fb-6377430dffe5-0009459759,56,15,34.03,14,52.97
60b24bf0-4608-45e6-a6fb-6377430dffe5-0009459759,56,13,56,15,34.03
c8d60131-f4ae-48d9-91c4-30189de744a3-0008959226,272.77,14,276,14,208
b1888518-5168-4c80-b0d1-6034c88ce2ee-0012001192,83.85,63,48.96,14,66.96
b1888518-5168-4c80-b0d1-6034c88ce2ee-0012001192,53.53,7,83.85,63,48.96
b1888518-5168-4c80-b0d1-6034c88ce2ee-0011597614,55.14,63,32.64,14,87.77
b1888518-5168-4c80-b0d1-6034c88ce2ee-0011597614,51.64,7,55.14,63,32.64
79816288-dbd9-4d0f-80aa-08de52abdc79-0012187727,212.77,21,212.77,4,212.77
79816288-dbd9-4d0f-80aa-08de52abdc79-0012187727,212.77,14,212.77,21,212.77
1a42e93e-6b38-457f-8cf9-fd945b9c641b-0010413048,134.54,10,134.54,8,134.54
1a42e93e-6b38-457f-8cf9-fd945b9c641b-0010413048,134.54,12,134.54,10,134.54
1a42e93e-6b38-457f-8cf9-fd945b9c641b-0010413048,134.54,7,134.54,12,134.54
3b582024-429a-4590-96be-99576cc3ac19-0012192329,75.46,7,75.46,3,75.46
3b582024-429a-4590-96be-99576cc3ac19-0012192329,75.46,7,75.46,7,75.46
3b582024-429a-4590-96be-99576cc3ac19-0012192329,75.46,7,75.46,7,75.46
3b582024-429a-4590-96be-99576cc3ac19-0012192329,75.46,6,75.46,7,75.46
f985f730-d801-48e1-b5bd-2888302d57ac-0009887813,75,7,75,7,75
f985f730-d801-48e1-b5bd-2888302d57ac-0009887813,75,7,75,7,75
f985f730-d801-48e1-b5bd-2888302d57ac-0009887813,75,7,75,7,75
f985f730-d801-48e1-b5bd-2888302d57ac-0009887813,75,7,75,7,75
1dc695ad-4138-4c67-bde4-523fc256c7e2-0012173050,83.31,8,83.31,45,166.03
1dc695ad-4138-4c67-bde4-523fc256c7e2-0012173050,83.31,6,83.31,8,83.31
1dc695ad-4138-4c67-bde4-523fc256c7e2-0012173050,89.77,6,83.31,6,83.31
571a6cbf-6955-4975-86ac-2694c3999f9e-0009196408,120.92,7,120.92,7,70.92
571a6cbf-6955-4975-86ac-2694c3999f9e-0009196408,120.92,7,120.92,7,120.92
571a6cbf-6955-4975-86ac-2694c3999f9e-0009196408,70.92,7,120.92,7,120.92
571a6cbf-6955-4975-86ac-2694c3999f9e-0009196408,120.92,7,70.92,7,120.92
a7282d5b-80cd-4cb0-b6df-d2434450ebe6-0010026110,65.27,14,150.1,14,156.92
3eae46a1-3c8c-40eb-b80c-a218a24e0f27-0008959226,272.77,14,276,14,208
5443970c-0a03-4ae1-a3a2-548db1fe8894-0011983699,124.06,7,74.06,3,99.06
5443970c-0a03-4ae1-a3a2-548db1fe8894-0011983699,124.06,7,124.06,7,74.06
5443970c-0a03-4ae1-a3a2-548db1fe8894-0011983699,124.06,7,124.06,7,124.06
5443970c-0a03-4ae1-a3a2-548db1fe8894-0011983699,74.06,6,124.06,7,124.06
41832c58-5e73-4796-9243-872c8d404a68-4656550461,92.31,14,92.31,14,92.31
41832c58-5e73-4796-9243-872c8d404a68-4656550461,92.31,15,92.31,14,92.31
7beb24fe-d0cb-4dad-aa4d-56628f63be0c-0010375486,220.69,14,220.69,14,220.69
7beb24fe-d0cb-4dad-aa4d-56628f63be0c-0010375486,220.69,14,220.69,14,220.69
9defbcbd-13dd-4466-88aa-b87ce4649942-0012161823,121.15,7,121.15,1,23.15
9defbcbd-13dd-4466-88aa-b87ce4649942-0012161823,116.85,7,121.15,7,121.15
9defbcbd-13dd-4466-88aa-b87ce4649942-0012161823,109.6,14,116.85,7,121.15
601c6663-ec24-478a-8398-65a4f0f1852d-0009204727,54.23,7,54.23,7,54.23
601c6663-ec24-478a-8398-65a4f0f1852d-0009204727,54.23,7,54.23,7,54.23
601c6663-ec24-478a-8398-65a4f0f1852d-0009204727,54.23,8,54.23,7,54.23
601c6663-ec24-478a-8398-65a4f0f1852d-0009204727,54.23,6,54.23,8,54.23
de1c215f-6e10-4def-b6ea-be742bc11dd9-0011981180,28.54,13,21.73,15,33.73
de1c215f-6e10-4def-b6ea-be742bc11dd9-0011981180,25.44,14,28.54,13,21.73
65a6e4a2-17c5-4493-8bae-fa027abfdc63-0011765241,9.23,9,9.23,2,9.23
65a6e4a2-17c5-4493-8bae-fa027abfdc63-0011765241,18.46,13,9.23,9,9.23
b33a004c-f0dc-46c6-84de-4b226f8bcb92-4522510212,161.54,14,161.54,13,161.54
822fe870-8783-4d9f-8e71-ba91de0a14fc-0010328579,114.69,7,114.69,7,114.69
822fe870-8783-4d9f-8e71-ba91de0a14fc-0010328579,114.69,7,114.69,7,114.69
822fe870-8783-4d9f-8e71-ba91de0a14fc-0010328579,114.69,7,114.69,7,114.69
822fe870-8783-4d9f-8e71-ba91de0a14fc-0010328579,114.69,7,114.69,7,114.69
878e09c4-ee34-4894-b998-662ff4ef0427-0540535421,219.46,7,19.46,7,219.46
878e09c4-ee34-4894-b998-662ff4ef0427-0540535421,219.46,7,219.46,7,19.46
878e09c4-ee34-4894-b998-662ff4ef0427-0540535421,219.46,7,219.46,7,219.46
878e09c4-ee34-4894-b998-662ff4ef0427-0540535421,19.46,7,219.46,7,219.46
8269f041-ea54-4351-99d2-3ba1c81422a7-0188683832,126.92,7,126.92,7,126.92
8269f041-ea54-4351-99d2-3ba1c81422a7-0188683832,126.92,7,126.92,7,126.92
8269f041-ea54-4351-99d2-3ba1c81422a7-0188683832,146.92,7,126.92,7,126.92
8269f041-ea54-4351-99d2-3ba1c81422a7-0188683832,126.92,7,146.92,7,126.92
63684f94-40c5-4f8d-8a90-0f0c685bb1f9-0011279949,170.77,14,170.77,14,170.77
63684f94-40c5-4f8d-8a90-0f0c685bb1f9-0011279949,170.77,14,170.77,14,170.77
1c10e7b9-d7ff-48ec-9461-3de33d8fe849-4672549031,87.69,31,87.69,15,87.69
d002800e-bf80-41d2-a3e5-fa76726682cd-0009300713,155.92,25,155.92,14,155.92
d002800e-bf80-41d2-a3e5-fa76726682cd-0009300713,155.92,3,155.92,25,155.92
cd7be36c-f305-439b-8470-068669af99a7-0010595985,73.85,14,73.85,15,128.21
cd7be36c-f305-439b-8470-068669af99a7-0010595985,73.85,14,73.85,14,73.85
8dac4bcb-f41e-4774-beee-877519392bd6-4653780891,103.46,7,141.9,8,141.9
8dac4bcb-f41e-4774-beee-877519392bd6-4653780891,133.52,7,103.46,7,141.9
8dac4bcb-f41e-4774-beee-877519392bd6-4653780891,122.69,6,133.52,7,103.46
8dac4bcb-f41e-4774-beee-877519392bd6-4653780891,132.85,8,122.69,6,133.52
6c6b353b-5fde-48c3-911a-3d6c734e5d0e-0009168892,82.5,14,82.5,14,82.5
6ac9f1aa-90f1-4f58-b6de-92ccd869215e-0011243425,105.69,7,105.69,7,105.69
6ac9f1aa-90f1-4f58-b6de-92ccd869215e-0011243425,105.69,7,105.69,7,105.69
6ac9f1aa-90f1-4f58-b6de-92ccd869215e-0011243425,105.69,7,105.69,7,105.69
6ac9f1aa-90f1-4f58-b6de-92ccd869215e-0011243425,105.69,7,105.69,7,105.69
